POI名称,所在区县,详细地址,经度,纬度,POI类型,分析类别
管记皮肚面,秦淮区,秦虹小区高虹苑1幢14号101,118.809127,32.013051,餐饮服务;中餐厅;中餐厅,餐饮
老宅院私房菜(麒麟店),江宁区,麒麟街道悦民路14栋7号门面房公安特勤停车场对面,118.924481,32.050419,餐饮服务;中餐厅;中餐厅,餐饮
黄埔大酒店,玄武区,黄埔路2-2号,118.811334,32.042476,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
生蚝园,鼓楼区,西桥210号(近狮子桥),118.772118,32.062163,餐饮服务;中餐厅;四川菜(川菜)|餐饮服务;中餐厅;海鲜酒楼,餐饮
扬浦大酒楼(平顶山路店),六合区,大厂街道l大厂平顶山路898号,118.758546,32.248264,餐饮服务;中餐厅;综合酒楼,餐饮
珠山茶艺馆·金陵老味道(三汊河渡江纪念馆店),鼓楼区,郑和南路三汊河111号(近渡江胜利纪念馆新馆),118.734189,32.073012,餐饮服务;茶艺馆;茶艺馆|餐饮服务;中餐厅;中餐厅,餐饮
海贝皇海鲜大排档(郑和南路店),鼓楼区,热河南路街道郑和南路111号,118.735688,32.06649,餐饮服务;中餐厅;海鲜酒楼,餐饮
聚友餐厅(光华路店),秦淮区,光华路56-7号,118.829191,32.019213,餐饮服务;中餐厅;中餐厅,餐饮
古的螺蛳粉(江南青年城楚襄园店),江宁区,佛城西路11号江南青年城门面房楚襄园3栋,118.782957,31.910231,餐饮服务;中餐厅;中餐厅,餐饮
闽南食屋(中山北路),鼓楼区,中山北路350号金座创意宾馆一楼,118.748682,32.086689,餐饮服务;中餐厅;中餐厅,餐饮
桦墅地一锅,栖霞区,桦墅周冲公交车站旁左手石板路往前300米,119.02981,32.111519,餐饮服务;餐饮相关场所;餐饮相关,餐饮
六张锅·精品大灶菜(长塘路店),六合区,长塘路1号,118.874291,32.29598,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮
金元宝大酒店(南京湖熟店),江宁区,湖熟镇瑞泽路8号,118.970789,31.874736,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;中餐厅,餐饮
凤凰台饭店,鼓楼区,湖南路47号,118.780797,32.068609,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
南京国际会议大酒店,玄武区,中山陵园风景区四方城2号,118.844726,32.050889,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,餐饮
